candidate_id,candidate_name,route,total_pop_pulled,neighbor_pop
CAND_101_103,Van Cortlandt Park-242 St – 238 St,1,7833.0,"Dict(""101"" => 3960.0, ""103"" => 3873.0)"
CAND_104_106,231 St – Marble Hill-225 St,1,12588.0,"Dict(""104"" => 10214.0, ""406"" => 2374.0)"
CAND_107_108,215 St – 207 St,1,1366.0,"Dict(""107"" => 1366.0)"
CAND_109_110,Dyckman St – 191 St,1,13708.0,"Dict(""109"" => 4926.0, ""110"" => 8782.0)"
CAND_112_113,168 St-Washington Hts – 157 St,1,13481.0,"Dict(""A10"" => 6421.0, ""112"" => 3100.0, ""113"" => 3960.0)"
CAND_114_115,145 St – 137 St-City College,1,6062.0,"Dict(""114"" => 4073.0, ""115"" => 1989.0)"
CAND_117_118,116 St-Columbia University – Cathedral Pkwy (110 St),1,6688.0,"Dict(""117"" => 3479.0, ""118"" => 3209.0)"
CAND_123_124,72 St – 66 St-Lincoln Center,1,14664.0,"Dict(""124"" => 3339.0, ""123"" => 11325.0)"
CAND_125_126,59 St-Columbus Circle – 50 St,1,6737.0,"Dict(""D14"" => 774.0, ""125"" => 2778.0, ""R14"" => 1715.0, ""A25"" => 1470.0)"
CAND_130_131,23 St – 18 St,1,4670.0,"Dict(""131"" => 1968.0, ""130"" => 2702.0)"
CAND_132_133,14 St – Christopher St-Stonewall,1,5806.0,"Dict(""133"" => 2625.0, ""132"" => 1957.0, ""L01"" => 1224.0)"
CAND_135_136,Canal St – Franklin St,1,0.0,"Dict{String, Float64}()"
CAND_602_603,Buhre Av – Middletown Rd,6,14341.0,"Dict(""603"" => 6066.0, ""602"" => 8275.0)"
CAND_606_607,Zerega Av – Castle Hill Av,6,8838.0,"Dict(""606"" => 4356.0, ""505"" => 1205.0, ""607"" => 3277.0)"
CAND_608_609,Parkchester – St Lawrence Av,6,24620.0,"Dict(""609"" => 11671.0, ""608"" => 12949.0)"
CAND_610_611,Morrison Av-Soundview – Elder Av,6,10602.0,"Dict(""611"" => 6171.0, ""610"" => 4431.0)"
CAND_612_613,Whitlock Av – Hunts Point Av,6,6898.0,"Dict(""217"" => 1964.0, ""612"" => 961.0, ""613"" => 3973.0)"
CAND_615_616,E 149 St – E 143 St-St Mary's St,6,4277.0,"Dict(""616"" => 4277.0)"
CAND_617_618,Cypress Av – Brook Av,6,7682.0,"Dict(""618"" => 1680.0, ""617"" => 6002.0)"
CAND_622_623,116 St – 110 St,6,12524.0,"Dict(""622"" => 4308.0, ""623"" => 6433.0, ""226"" => 1783.0)"
CAND_632_633,33 St – 28 St,6,11651.0,"Dict(""632"" => 5322.0, ""633"" => 6329.0)"
CAND_635_636,14 St-Union Sq – Astor Pl,6,5123.0,"Dict(""635"" => 2006.0, ""L03"" => 3117.0)"
CAND_637_638,Bleecker St – Spring St,6,3200.0,"Dict(""638"" => 1484.0, ""637"" => 1716.0)"
CAND_702_705,Mets-Willets Point – 111 St,7,0.0,"Dict{String, Float64}()"
CAND_706_707,103 St-Corona Plaza – Junction Blvd,7,23124.0,"Dict(""706"" => 15243.0, ""707"" => 7881.0)"
CAND_708_709,90 St-Elmhurst Av – 82 St-Jackson Hts,7,20298.0,"Dict(""709"" => 11165.0, ""G13"" => 2036.0, ""708"" => 7097.0)"
CAND_710_711,74 St-Broadway – 69 St,7,4579.0,"Dict(""711"" => 2853.0, ""710"" => 1726.0)"
CAND_712_713,61 St-Woodside – 52 St,7,10524.0,"Dict(""712"" => 5358.0, ""713"" => 5166.0)"
CAND_714_715,46 St-Bliss St – 40 St-Lowery St,7,13245.0,"Dict(""714"" => 8120.0, ""715"" => 5125.0)"
CAND_718_719,Queensboro Plaza – Court Sq,7,0.0,"Dict{String, Float64}()"
CAND_720_721,Hunters Point Av – Vernon Blvd-Jackson Av,7,1926.0,"Dict(""721"" => 1926.0)"
CAND_723_724,Grand Central-42 St – 5 Av,7,784.0,"Dict(""901"" => 784.0)"
CAND_A09_A10,168 St – 163 St-Amsterdam Av,C,4663.0,"Dict(""A10"" => 3579.0, ""A09"" => 1084.0)"
CAND_A14_A15,135 St – 125 St,C,11760.0,"Dict(""A14"" => 4751.0, ""A15"" => 5785.0, ""115"" => 1224.0)"
CAND_A18_A19,103 St – 96 St,C,1578.0,"Dict(""A19"" => 1578.0)"
CAND_A27_A28,42 St-Port Authority Bus Terminal – 34 St-Penn Station,C,3863.0,"Dict(""A27"" => 3863.0)"
CAND_A36_A38,Chambers St – Fulton St,C,0.0,"Dict{String, Float64}()"
CAND_A43_A44,Lafayette Av – Clinton-Washington Avs,C,4342.0,"Dict(""A43"" => 1838.0, ""A44"" => 1417.0, ""G35"" => 1087.0)"
