stop_id,stop_name,Line,current_pop_pulled
127,Times Sq-42 St,Broadway - 7Av,216
S01,Franklin Av,Franklin Shuttle,3591
254,Junius St,Eastern Pky,3931
M01,Middle Village-Metropolitan Av,Myrtle Av,42594
726,34 St-Hudson Yards,Flushing,19443
713,52 St,Flushing,17144
615,E 149 St,Pelham,7731
M11,Myrtle Av,Jamaica,23254
F16,East Broadway,6th Av - Culver,31022
F33,Avenue N,6th Av - Culver,12106
233,Hoyt St,Eastern Pky,5801
M05,Forest Av,Myrtle Av,27659
R43,77 St,4th Av,24927
A36,Chambers St,8th Av - Fulton St,2100
604,Westchester Sq-E Tremont Av,Pelham,11850
D09,170 St,Concourse,47001
629,59 St,Lexington Av,3367
219,Prospect Av,Lenox - White Plains Rd,28879
F39,Neptune Av,6th Av - Culver,4580
N09,Avenue U,Sea Beach,7453
610,Morrison Av-Soundview,Pelham,26007
F32,Bay Pkwy,6th Av - Culver,5232
R13,5 Av/59 St,Astoria,1085
B22,25 Av,West End,16837
622,116 St,Lexington Av,23082
H14,Beach 105 St,Rockaway,2644
F05,Briarwood,Queens Blvd,38389
R19,23 St,Broadway - Brighton,3909
R18,28 St,Broadway - Brighton,2370
114,145 St,Broadway - 7Av,19078
A03,Dyckman St,8th Av - Fulton St,12673
M16,Marcy Av,Jamaica,47505
720,Hunters Point Av,Flushing,27
A16,116 St,8th Av - Fulton St,19019
A41,Jay St-MetroTech,8th Av - Fulton St,1578
R39,45 St,4th Av,25705
A52,Liberty Av,8th Av - Fulton St,2003
G34,Classon Av,Crosstown,23000
D30,Cortelyou Rd,Broadway - Brighton,14833
G20,36 St,Queens Blvd,1403
418,Fulton St,Lexington Av,1614
212,Bronx Park East,Lenox - White Plains Rd,13213
503,Gun Hill Rd,Dyre Av,34202
B18,79 St,West End,24883
G29,Metropolitan Av,Crosstown,5526
406,Kingsbridge Rd,Jerome Av,17837
R23,Canal St,Broadway,3272
110,191 St,Broadway - 7Av,29946
G09,67 Av,Queens Blvd,48282
A51,Broadway Junction,8th Av - Fulton St,5216
R01,Astoria-Ditmars Blvd,Astoria,43048
246,Newkirk Av-Little Haiti,Nostrand,37130
L15,Jefferson St,Canarsie,11506
H01,Aqueduct Racetrack,Rockaway,10117
J22,Cleveland St,Jamaica,9949
A20,86 St,8th Av - Fulton St,9316
A57,Grant Av,Liberty Av,29396
G15,65 St,Queens Blvd,24227
D34,Avenue M,Broadway - Brighton,25169
103,238 St,Broadway - 7Av,19952
238,Eastern Pkwy-Brooklyn Museum,Eastern Pky,10071
637,Bleecker St,Lexington Av,5354
D29,Beverley Rd,Broadway - Brighton,15855
705,111 St,Flushing,35078
A15,125 St,8th Av - Fulton St,15891
D18,23 St,6th Av - Culver,4711
N08,Kings Hwy,Sea Beach,16270
115,137 St-City College,Broadway - 7Av,21710
226,116 St,Lenox - White Plains Rd,14800
136,Franklin St,Broadway - 7Av,6359
410,176 St,Jerome Av,19179
D14,7 Av,Queens Blvd,1727
D08,174-175 Sts,Concourse,17348
M20,Canal St,Jamaica,6663
L10,Lorimer St,Canarsie,6464
A30,23 St,8th Av - Fulton St,18809
A46,Nostrand Av,8th Av - Fulton St,16954
N03,Fort Hamilton Pkwy,Sea Beach,34733
504,Pelham Pkwy,Dyre Av,16155
R06,36 Av,Astoria,14758
D03,Bedford Park Blvd,Concourse,19304
619,3 Av-138 St,Pelham,16054
M10,Central Av,Myrtle Av,11373
242,Sterling St,Nostrand,16358
F22,Smith-9 Sts,6th Av - Culver,11085
611,Elder Av,Pelham,23872
Q05,96 St,Second Av,29604
229,Fulton St,Clark St,17149
M04,Fresh Pond Rd,Myrtle Av,25740
A10,163 St-Amsterdam Av,8th Av - Fulton St,14853
R30,DeKalb Av,Broadway - Brighton,11147
633,28 St,Lexington Av,20000
119,103 St,Broadway - 7Av,21275
B04,21 St-Queensbridge,63rd St,11923
204,Nereid Av,Lenox - White Plains Rd,12835
J14,104 St,Jamaica,11843
L24,Atlantic Av,Canarsie,4531
R29,Jay St-MetroTech,Broadway,2671
234,Nevins St,Eastern Pky,5200
L25,Sutter Av,Canarsie,5357
D24,Atlantic Av-Barclays Ctr,Broadway - Brighton,1432
606,Zerega Av,Pelham,12595
F27,Church Av,6th Av - Culver,23288
D42,W 8 St-NY Aquarium,Broadway - Brighton,5470
F34,Avenue P,6th Av - Culver,11728
414,161 St-Yankee Stadium,Jerome Av,8379
301,Harlem-148 St,Lenox - White Plains Rd,14133
132,14 St,Broadway - 7Av,5415
H08,Beach 44 St,Rockaway,8744
218,Intervale Av,Lenox - White Plains Rd,12286
201,Wakefield-241 St,Lenox - White Plains Rd,15433
F15,Delancey St-Essex St,6th Av - Culver,5170
J13,111 St,Jamaica,16833
F01,Jamaica-179 St,Queens Blvd,426730
614,Longwood Av,Pelham,12445
118,Cathedral Pkwy (110 St),Broadway - 7Av,15968
R14,57 St-7 Av,Broadway - Brighton,3497
607,Castle Hill Av,Pelham,49166
B21,Bay Pkwy,West End,24620
623,110 St,Lexington Av,23938
230,Wall St,Clark St,7948
H13,Beach 98 St,Rockaway,3729
R15,49 St,Broadway - Brighton,2211
D12,155 St,Concourse,11153
255,Pennsylvania Av,Eastern Pky,13720
714,46 St-Bliss St,Flushing,23781
213,E 180 St,Lenox - White Plains Rd,9820
409,Burnside Av,Jerome Av,16406
Q04,86 St,Second Av,62969
F12,5 Av/53 St,Queens Blvd,1266
G30,Broadway,Crosstown,5283
A24,59 St-Columbus Circle,8th Av - Fulton St,3686
208,Gun Hill Rd,Lenox - White Plains Rd,14311
128,34 St-Penn Station,Broadway - 7Av,3003
D38,Neck Rd,Broadway - Brighton,32389
A61,Rockaway Blvd,Liberty Av,12735
R42,Bay Ridge Av,4th Av,21769
D43,Coney Island-Stillwell Av,Sea Beach / West End / Culver / Brighton,31183
628,68 St-Hunter College,Lexington Av,13073
G16,Northern Blvd,Queens Blvd,9340
L29,Canarsie-Rockaway Pkwy,Canarsie,113533
A31,14 St,8th Av - Fulton St,9534
G22,Court Sq,Crosstown,1434
237,Grand Army Plaza,Eastern Pky,8643
J31,Kosciuszko St,Jamaica,14980
D19,14 St,6th Av - Culver,5729
M09,Knickerbocker Av,Myrtle Av,17552
618,Brook Av,Pelham,12579
H02,Aqueduct-N Conduit Av,Rockaway,8207
123,72 St,Broadway - 7Av,34083
B17,71 St,West End,16035
250,Crown Hts-Utica Av,Eastern Pky,35520
709,82 St-Jackson Hts,Flushing,43715
J23,Van Siclen Av,Jamaica,9471
L11,Graham Av,Canarsie,16681
J17,75 St-Elderts Ln,Jamaica,17977
702,Mets-Willets Point,Flushing,11862
638,Spring St,Lexington Av,2758
B10,57 St,6th Av - Culver,3814
227,110 St-Malcolm X Plaza,Lenox - White Plains Rd,9137
A19,96 St,8th Av - Fulton St,9688
R36,36 St,4th Av,10886
F04,Sutphin Blvd,Queens Blvd,11802
A55,Euclid Av,8th Av - Fulton St,16362
R22,Prince St,Broadway - Brighton,2021
111,181 St,Broadway - 7Av,18975
A02,Inwood-207 St,8th Av - Fulton St,6262
D33,Avenue J,Broadway - Brighton,12855
245,Beverly Rd,Nostrand,18990
708,90 St-Elmhurst Av,Flushing,54441
M14,Hewes St,Jamaica,10932
405,Bedford Park Blvd-Lehman College,Jerome Av,8979
L03,14 St-Union Sq,Canarsie,5494
L14,Morgan Av,Canarsie,4126
D15,47-50 Sts-Rockefeller Ctr,6th Av - Culver,427
135,Canal St,Broadway - 7Av,4025
A63,104 St,Liberty Av,9433
M21,Chambers St,Jamaica,7471
L05,3 Av,Canarsie,16459
D04,Kingsbridge Rd,Concourse,34192
249,Kingston Av,Eastern Pky,33688
R26,Rector St,Broadway,1081
J19,Cypress Hills,Jamaica,9186
A40,High St,8th Av - Fulton St,7454
G08,Forest Hills-71 Av,Queens Blvd,22469
L20,Wilson Av,Canarsie,9614
G33,Bedford-Nostrand Avs,Crosstown,18665
L26,Livonia Av,Canarsie,4240
131,18 St,Broadway - 7Av,7148
L19,Halsey St,Canarsie,15651
724,5 Av,Flushing,214
F21,Carroll St,6th Av - Culver,25489
241,President St-Medgar Evers College,Nostrand,6407
F29,Ditmas Av,6th Av - Culver,25691
F35,Kings Hwy,6th Av - Culver,11606
415,149 St-Grand Concourse,Jerome Av,1406
H07,Beach 60 St,Rockaway,8903
222,149 St-Grand Concourse,Lenox - White Plains Rd,4739
R31,Atlantic Av-Barclays Ctr,4th Av,6282
209,Burke Av,Lenox - White Plains Rd,18205
D25,7 Av,Broadway - Brighton,11807
D39,Sheepshead Bay,Broadway - Brighton,55533
B12,9 Av,West End,13079
A32,W 4 St-Wash Sq,8th Av - Fulton St,9801
G07,Jamaica-Van Wyck,Queens - Archer,12450
G24,21 St,Crosstown,3308
A11,155 St,8th Av - Fulton St,9395
413,167 St,Jerome Av,29944
101,Van Cortlandt Park-242 St,Broadway - 7Av,24950
A25,50 St,8th Av - Fulton St,29159
632,33 St,Lexington Av,27882
122,79 St,Broadway - 7Av,21517
A47,Kingston-Throop Avs,8th Av - Fulton St,34649
207,219 St,Lenox - White Plains Rd,18322
G12,Grand Av-Newtown,Queens Blvd,33183
N04,New Utrecht Av,Sea Beach,1748
A12,145 St,8th Av - Fulton St,18654
R05,Broadway,Astoria,23812
A43,Lafayette Av,8th Av - Fulton St,6439
D37,Avenue U,Broadway - Brighton,37756
A60,88 St,Liberty Av,21747
R35,25 St,4th Av,6274
G18,46 St,Queens Blvd,19147
G36,Fulton St,Crosstown,8048
639,Canal St,Lexington Av,1093
423,Borough Hall,Eastern Pky,5167
117,116 St-Columbia University,Broadway - 7Av,14239
608,Parkchester,Pelham,48953
634,23 St-Baruch College,Lexington Av,10364
H06,Beach 67 St,Rockaway,11499
408,183 St,Jerome Av,22879
F11,Lexington Av/53 St,Queens Blvd,30041
D26,Prospect Park,Broadway - Brighton,8251
129,28 St,Broadway - 7Av,3892
R24,City Hall,Broadway,1770
F07,75 Av,Queens Blvd,16531
N05,18 Av,Sea Beach,19431
112,168 St-Washington Hts,Broadway - 7Av,5123
302,145 St,Lenox - White Plains Rd,11134
A06,181 St,8th Av - Fulton St,14562
107,215 St,Broadway - 7Av,8661
J30,Gates Av,Jamaica,16290
715,40 St-Lowery St,Flushing,17151
F20,Bergen St,6th Av - Culver,14684
A48,Utica Av,8th Av - Fulton St,22564
Q03,72 St,Second Av,44548
231,Clark St,Clark St,10473
A22,72 St,8th Av - Fulton St,9693
A54,Shepherd Av,8th Av - Fulton St,15817
R41,59 St,4th Av,17299
602,Buhre Av,Pelham,32541
D11,161 St-Yankee Stadium,Concourse,17814
627,77 St,Lexington Av,20639
D32,Avenue H,Broadway - Brighton,14383
139,Rector St,Broadway - 7Av,8453
R08,39 Av-Dutch Kills,Astoria,4228
D21,Broadway-Lafayette St,6th Av - Culver,2882
J12,121 St,Jamaica,19015
134,Houston St,Broadway - 7Av,7786
F02,169 St,Queens Blvd,39746
F30,18 Av,6th Av - Culver,23143
